date,sleep,isPartial
2013-01-06,93,False
2013-01-13,90,False
2013-01-20,87,False
2013-01-27,88,False
2013-02-03,87,False
2013-02-10,85,False
2013-02-17,87,False
2013-02-24,85,False
2013-03-03,88,False
2013-03-10,90,False
2013-03-17,88,False
2013-03-24,87,False
2013-03-31,86,False
2013-04-07,86,False
2013-04-14,83,False
2013-04-21,89,False
2013-04-28,86,False
2013-05-05,83,False
2013-05-12,87,False
2013-05-19,87,False
2013-05-26,88,False
2013-06-02,89,False
2013-06-09,92,False
2013-06-16,87,False
2013-06-23,92,False
2013-06-30,88,False
2013-07-07,90,False
2013-07-14,90,False
2013-07-21,93,False
2013-07-28,95,False
2013-08-04,96,False
2013-08-11,96,False
2013-08-18,92,False
2013-08-25,94,False
2013-09-01,92,False
2013-09-08,90,False
2013-09-15,92,False
2013-09-22,97,False
2013-09-29,91,False
2013-10-06,90,False
2013-10-13,91,False
2013-10-20,92,False
2013-10-27,94,False
2013-11-03,90,False
2013-11-10,92,False
2013-11-17,92,False
2013-11-24,85,False
2013-12-01,88,False
2013-12-08,91,False
2013-12-15,86,False
2013-12-22,92,False
2013-12-29,100,False
