date,sleep,isPartial
2011-01-02,84,False
2011-01-09,79,False
2011-01-16,81,False
2011-01-23,78,False
2011-01-30,73,False
2011-02-06,75,False
2011-02-13,78,False
2011-02-20,81,False
2011-02-27,77,False
2011-03-06,76,False
2011-03-13,77,False
2011-03-20,84,False
2011-03-27,87,False
2011-04-03,82,False
2011-04-10,83,False
2011-04-17,77,False
2011-04-24,79,False
2011-05-01,77,False
2011-05-08,84,False
2011-05-15,85,False
2011-05-22,81,False
2011-05-29,82,False
2011-06-05,78,False
2011-06-12,100,False
2011-06-19,90,False
2011-06-26,88,False
2011-07-03,86,False
2011-07-10,83,False
2011-07-17,88,False
2011-07-24,87,False
2011-07-31,88,False
2011-08-07,86,False
2011-08-14,88,False
2011-08-21,86,False
2011-08-28,84,False
2011-09-04,81,False
2011-09-11,84,False
2011-09-18,82,False
2011-09-25,84,False
2011-10-02,83,False
2011-10-09,85,False
2011-10-16,80,False
2011-10-23,81,False
2011-10-30,82,False
2011-11-06,80,False
2011-11-13,84,False
2011-11-20,77,False
2011-11-27,88,False
2011-12-04,83,False
2011-12-11,80,False
2011-12-18,79,False
2011-12-25,86,False
