geoName,sleep
Alabama,88
Alaska,79
Arizona,86
Arkansas,85
California,90
Colorado,82
Connecticut,81
Delaware,89
District of Columbia,79
Florida,79
Georgia,84
Hawaii,78
Idaho,87
Illinois,83
Indiana,86
Iowa,84
Kansas,85
Kentucky,89
Louisiana,88
Maine,80
Maryland,90
Massachusetts,81
Michigan,84
Minnesota,84
Mississippi,88
Missouri,83
Montana,89
Nebraska,83
Nevada,78
New Hampshire,86
New Jersey,83
New Mexico,87
New York,83
North Carolina,84
North Dakota,95
Ohio,83
Oklahoma,89
Oregon,91
Pennsylvania,90
Rhode Island,85
South Carolina,88
South Dakota,88
Tennessee,88
Texas,82
Utah,88
Vermont,76
Virginia,90
Washington,92
West Virginia,90
Wisconsin,79
Wyoming,100
