date,sleep,isPartial
2014-01-05,95,False
2014-01-12,94,False
2014-01-19,87,False
2014-01-26,84,False
2014-02-02,84,False
2014-02-09,85,False
2014-02-16,86,False
2014-02-23,88,False
2014-03-02,85,False
2014-03-09,89,False
2014-03-16,87,False
2014-03-23,86,False
2014-03-30,90,False
2014-04-06,87,False
2014-04-13,84,False
2014-04-20,84,False
2014-04-27,87,False
2014-05-04,84,False
2014-05-11,86,False
2014-05-18,85,False
2014-05-25,88,False
2014-06-01,86,False
2014-06-08,83,False
2014-06-15,84,False
2014-06-22,88,False
2014-06-29,87,False
2014-07-06,90,False
2014-07-13,89,False
2014-07-20,91,False
2014-07-27,91,False
2014-08-03,93,False
2014-08-10,88,False
2014-08-17,92,False
2014-08-24,91,False
2014-08-31,88,False
2014-09-07,85,False
2014-09-14,87,False
2014-09-21,89,False
2014-09-28,88,False
2014-10-05,89,False
2014-10-12,89,False
2014-10-19,88,False
2014-10-26,95,False
2014-11-02,93,False
2014-11-09,89,False
2014-11-16,85,False
2014-11-23,81,False
2014-11-30,90,False
2014-12-07,89,False
2014-12-14,85,False
2014-12-21,89,False
2014-12-28,100,False
