date,sleep,isPartial
2015-01-04,99,False
2015-01-11,89,False
2015-01-18,88,False
2015-01-25,83,False
2015-02-01,82,False
2015-02-08,84,False
2015-02-15,81,False
2015-02-22,83,False
2015-03-01,84,False
2015-03-08,86,False
2015-03-15,81,False
2015-03-22,85,False
2015-03-29,80,False
2015-04-05,80,False
2015-04-12,80,False
2015-04-19,81,False
2015-04-26,76,False
2015-05-03,78,False
2015-05-10,80,False
2015-05-17,85,False
2015-05-24,84,False
2015-05-31,84,False
2015-06-07,84,False
2015-06-14,86,False
2015-06-21,86,False
2015-06-28,90,False
2015-07-05,92,False
2015-07-12,90,False
2015-07-19,92,False
2015-07-26,90,False
2015-08-02,90,False
2015-08-09,90,False
2015-08-16,90,False
2015-08-23,90,False
2015-08-30,91,False
2015-09-06,89,False
2015-09-13,84,False
2015-09-20,82,False
2015-09-27,84,False
2015-10-04,87,False
2015-10-11,85,False
2015-10-18,85,False
2015-10-25,85,False
2015-11-01,85,False
2015-11-08,82,False
2015-11-15,83,False
2015-11-22,81,False
2015-11-29,87,False
2015-12-06,84,False
2015-12-13,84,False
2015-12-20,84,False
2015-12-27,100,False
