geoName,sleep
Alabama,92
Alaska,81
Arizona,84
Arkansas,85
California,88
Colorado,83
Connecticut,84
Delaware,91
District of Columbia,82
Florida,79
Georgia,83
Hawaii,77
Idaho,87
Illinois,84
Indiana,87
Iowa,86
Kansas,84
Kentucky,91
Louisiana,86
Maine,83
Maryland,89
Massachusetts,87
Michigan,86
Minnesota,87
Mississippi,86
Missouri,86
Montana,85
Nebraska,85
Nevada,81
New Hampshire,90
New Jersey,83
New Mexico,83
New York,92
North Carolina,87
North Dakota,94
Ohio,87
Oklahoma,85
Oregon,100
Pennsylvania,89
Rhode Island,93
South Carolina,91
South Dakota,88
Tennessee,89
Texas,82
Utah,87
Vermont,86
Virginia,91
Washington,94
West Virginia,87
Wisconsin,89
Wyoming,92
