geoName,psychiatrist
Alabama,68
Alaska,54
Arizona,68
Arkansas,70
California,64
Colorado,62
Connecticut,73
Delaware,74
District of Columbia,79
Florida,80
Georgia,77
Hawaii,53
Idaho,45
Illinois,66
Indiana,60
Iowa,55
Kansas,68
Kentucky,76
Louisiana,78
Maine,76
Maryland,100
Massachusetts,73
Michigan,66
Minnesota,59
Mississippi,78
Missouri,75
Montana,50
Nebraska,54
Nevada,70
New Hampshire,72
New Jersey,89
New Mexico,68
New York,80
North Carolina,75
North Dakota,71
Ohio,73
Oklahoma,79
Oregon,61
Pennsylvania,83
Rhode Island,78
South Carolina,79
South Dakota,60
Tennessee,79
Texas,73
Utah,53
Vermont,50
Virginia,79
Washington,58
West Virginia,79
Wisconsin,62
Wyoming,65
