geoName,panic
Alabama,100
Alaska,46
Arizona,58
Arkansas,64
California,59
Colorado,82
Connecticut,62
Delaware,69
District of Columbia,52
Florida,66
Georgia,76
Hawaii,52
Idaho,65
Illinois,64
Indiana,71
Iowa,61
Kansas,56
Kentucky,77
Louisiana,61
Maine,64
Maryland,60
Massachusetts,56
Michigan,60
Minnesota,55
Mississippi,86
Missouri,63
Montana,64
Nebraska,65
Nevada,75
New Hampshire,65
New Jersey,67
New Mexico,67
New York,61
North Carolina,76
North Dakota,49
Ohio,67
Oklahoma,63
Oregon,61
Pennsylvania,70
Rhode Island,62
South Carolina,83
South Dakota,52
Tennessee,75
Texas,58
Utah,68
Vermont,76
Virginia,68
Washington,60
West Virginia,78
Wisconsin,65
Wyoming,63
