date,panic,isPartial
2015-01-04,65,False
2015-01-11,67,False
2015-01-18,69,False
2015-01-25,72,False
2015-02-01,70,False
2015-02-08,68,False
2015-02-15,68,False
2015-02-22,67,False
2015-03-01,71,False
2015-03-08,74,False
2015-03-15,72,False
2015-03-22,71,False
2015-03-29,73,False
2015-04-05,69,False
2015-04-12,72,False
2015-04-19,100,False
2015-04-26,80,False
2015-05-03,75,False
2015-05-10,76,False
2015-05-17,75,False
2015-05-24,72,False
2015-05-31,74,False
2015-06-07,73,False
2015-06-14,70,False
2015-06-21,82,False
2015-06-28,76,False
2015-07-05,81,False
2015-07-12,80,False
2015-07-19,82,False
2015-07-26,83,False
2015-08-02,80,False
2015-08-09,70,False
2015-08-16,70,False
2015-08-23,78,False
2015-08-30,81,False
2015-09-06,79,False
2015-09-13,80,False
2015-09-20,75,False
2015-09-27,87,False
2015-10-04,82,False
2015-10-11,76,False
2015-10-18,95,False
2015-10-25,94,False
2015-11-01,81,False
2015-11-08,84,False
2015-11-15,80,False
2015-11-22,83,False
2015-11-29,79,False
2015-12-06,80,False
2015-12-13,76,False
2015-12-20,70,False
2015-12-27,87,False
