geoName,panic
Alabama,95
Alaska,59
Arizona,80
Arkansas,88
California,76
Colorado,86
Connecticut,73
Delaware,74
District of Columbia,60
Florida,77
Georgia,82
Hawaii,80
Idaho,81
Illinois,69
Indiana,82
Iowa,68
Kansas,69
Kentucky,80
Louisiana,81
Maine,83
Maryland,76
Massachusetts,78
Michigan,72
Minnesota,67
Mississippi,91
Missouri,73
Montana,74
Nebraska,72
Nevada,89
New Hampshire,83
New Jersey,79
New Mexico,80
New York,72
North Carolina,94
North Dakota,86
Ohio,82
Oklahoma,82
Oregon,76
Pennsylvania,81
Rhode Island,73
South Carolina,79
South Dakota,71
Tennessee,84
Texas,70
Utah,76
Vermont,74
Virginia,79
Washington,73
West Virginia,100
Wisconsin,79
Wyoming,58
