geoName,panic
Alabama,100
Alaska,61
Arizona,71
Arkansas,78
California,76
Colorado,93
Connecticut,83
Delaware,83
District of Columbia,60
Florida,72
Georgia,79
Hawaii,70
Idaho,73
Illinois,76
Indiana,81
Iowa,79
Kansas,68
Kentucky,78
Louisiana,68
Maine,73
Maryland,71
Massachusetts,73
Michigan,79
Minnesota,71
Mississippi,97
Missouri,81
Montana,78
Nebraska,72
Nevada,79
New Hampshire,79
New Jersey,84
New Mexico,77
New York,71
North Carolina,91
North Dakota,64
Ohio,85
Oklahoma,74
Oregon,51
Pennsylvania,79
Rhode Island,86
South Carolina,87
South Dakota,55
Tennessee,88
Texas,68
Utah,84
Vermont,87
Virginia,62
Washington,70
West Virginia,86
Wisconsin,72
Wyoming,74
