date,panic,isPartial
2013-01-06,62,False
2013-01-13,64,False
2013-01-20,57,False
2013-01-27,60,False
2013-02-03,62,False
2013-02-10,60,False
2013-02-17,60,False
2013-02-24,65,False
2013-03-03,64,False
2013-03-10,62,False
2013-03-17,64,False
2013-03-24,56,False
2013-03-31,56,False
2013-04-07,69,False
2013-04-14,63,False
2013-04-21,69,False
2013-04-28,67,False
2013-05-05,64,False
2013-05-12,62,False
2013-05-19,60,False
2013-05-26,60,False
2013-06-02,68,False
2013-06-09,62,False
2013-06-16,61,False
2013-06-23,72,False
2013-06-30,70,False
2013-07-07,63,False
2013-07-14,89,False
2013-07-21,73,False
2013-07-28,73,False
2013-08-04,70,False
2013-08-11,84,False
2013-08-18,75,False
2013-08-25,71,False
2013-09-01,72,False
2013-09-08,74,False
2013-09-15,70,False
2013-09-22,72,False
2013-09-29,85,False
2013-10-06,100,False
2013-10-13,86,False
2013-10-20,79,False
2013-10-27,76,False
2013-11-03,76,False
2013-11-10,83,False
2013-11-17,71,False
2013-11-24,66,False
2013-12-01,67,False
2013-12-08,72,False
2013-12-15,67,False
2013-12-22,67,False
2013-12-29,84,False
