geoName,panic
Alabama,90
Alaska,65
Arizona,76
Arkansas,91
California,71
Colorado,100
Connecticut,75
Delaware,55
District of Columbia,62
Florida,68
Georgia,82
Hawaii,58
Idaho,72
Illinois,80
Indiana,87
Iowa,79
Kansas,73
Kentucky,81
Louisiana,72
Maine,82
Maryland,63
Massachusetts,73
Michigan,78
Minnesota,70
Mississippi,87
Missouri,84
Montana,77
Nebraska,83
Nevada,77
New Hampshire,77
New Jersey,75
New Mexico,69
New York,66
North Carolina,85
North Dakota,61
Ohio,76
Oklahoma,78
Oregon,79
Pennsylvania,87
Rhode Island,85
South Carolina,86
South Dakota,80
Tennessee,83
Texas,72
Utah,89
Vermont,78
Virginia,78
Washington,69
West Virginia,88
Wisconsin,87
Wyoming,72
