date,panic,isPartial
2012-01-01,86,False
2012-01-08,81,False
2012-01-15,83,False
2012-01-22,86,False
2012-01-29,94,False
2012-02-05,88,False
2012-02-12,87,False
2012-02-19,81,False
2012-02-26,88,False
2012-03-04,81,False
2012-03-11,82,False
2012-03-18,79,False
2012-03-25,77,False
2012-04-01,82,False
2012-04-08,80,False
2012-04-15,80,False
2012-04-22,83,False
2012-04-29,80,False
2012-05-06,78,False
2012-05-13,80,False
2012-05-20,79,False
2012-05-27,78,False
2012-06-03,84,False
2012-06-10,83,False
2012-06-17,82,False
2012-06-24,82,False
2012-07-01,74,False
2012-07-08,80,False
2012-07-15,82,False
2012-07-22,81,False
2012-07-29,84,False
2012-08-05,82,False
2012-08-12,100,False
2012-08-19,80,False
2012-08-26,76,False
2012-09-02,77,False
2012-09-09,77,False
2012-09-16,75,False
2012-09-23,81,False
2012-09-30,82,False
2012-10-07,85,False
2012-10-14,88,False
2012-10-21,81,False
2012-10-28,77,False
2012-11-04,76,False
2012-11-11,86,False
2012-11-18,74,False
2012-11-25,85,False
2012-12-02,84,False
2012-12-09,80,False
2012-12-16,78,False
2012-12-23,73,False
2012-12-30,85,False
