geoName,panic
Alabama,100
Alaska,66
Arizona,64
Arkansas,75
California,65
Colorado,84
Connecticut,70
Delaware,72
District of Columbia,50
Florida,64
Georgia,81
Hawaii,53
Idaho,78
Illinois,65
Indiana,71
Iowa,57
Kansas,70
Kentucky,83
Louisiana,65
Maine,73
Maryland,63
Massachusetts,67
Michigan,68
Minnesota,64
Mississippi,95
Missouri,66
Montana,77
Nebraska,63
Nevada,78
New Hampshire,73
New Jersey,70
New Mexico,63
New York,65
North Carolina,82
North Dakota,58
Ohio,70
Oklahoma,73
Oregon,50
Pennsylvania,75
Rhode Island,70
South Carolina,86
South Dakota,59
Tennessee,84
Texas,61
Utah,67
Vermont,68
Virginia,71
Washington,62
West Virginia,79
Wisconsin,70
Wyoming,68
