date,panic,isPartial
2011-01-02,64,False
2011-01-09,60,False
2011-01-16,67,False
2011-01-23,71,False
2011-01-30,75,False
2011-02-06,82,False
2011-02-13,83,False
2011-02-20,75,False
2011-02-27,69,False
2011-03-06,68,False
2011-03-13,87,False
2011-03-20,95,False
2011-03-27,100,False
2011-04-03,82,False
2011-04-10,81,False
2011-04-17,74,False
2011-04-24,68,False
2011-05-01,72,False
2011-05-08,76,False
2011-05-15,74,False
2011-05-22,76,False
2011-05-29,78,False
2011-06-05,78,False
2011-06-12,79,False
2011-06-19,83,False
2011-06-26,76,False
2011-07-03,75,False
2011-07-10,74,False
2011-07-17,73,False
2011-07-24,67,False
2011-07-31,68,False
2011-08-07,73,False
2011-08-14,69,False
2011-08-21,66,False
2011-08-28,68,False
2011-09-04,61,False
2011-09-11,69,False
2011-09-18,73,False
2011-09-25,71,False
2011-10-02,70,False
2011-10-09,78,False
2011-10-16,72,False
2011-10-23,77,False
2011-10-30,73,False
2011-11-06,69,False
2011-11-13,69,False
2011-11-20,62,False
2011-11-27,65,False
2011-12-04,60,False
2011-12-11,63,False
2011-12-18,57,False
2011-12-25,62,False
