date,demoralized,isPartial
2012-01-01,36,False
2012-01-08,80,False
2012-01-15,23,False
2012-01-22,89,False
2012-01-29,78,False
2012-02-05,56,False
2012-02-12,33,False
2012-02-19,67,False
2012-02-26,68,False
2012-03-04,23,False
2012-03-11,56,False
2012-03-18,34,False
2012-03-25,23,False
2012-04-01,23,False
2012-04-08,35,False
2012-04-15,33,False
2012-04-22,22,False
2012-04-29,44,False
2012-05-06,11,False
2012-05-13,22,False
2012-05-20,34,False
2012-05-27,23,False
2012-06-03,23,False
2012-06-10,46,False
2012-06-17,12,False
2012-06-24,34,False
2012-07-01,24,False
2012-07-08,22,False
2012-07-15,11,False
2012-07-22,0,False
2012-07-29,22,False
2012-08-05,33,False
2012-08-12,55,False
2012-08-19,11,False
2012-08-26,22,False
2012-09-02,55,False
2012-09-09,43,False
2012-09-16,53,False
2012-09-23,94,False
2012-09-30,52,False
2012-10-07,81,False
2012-10-14,60,False
2012-10-21,100,False
2012-10-28,20,False
2012-11-04,60,False
2012-11-11,62,False
2012-11-18,0,False
2012-11-25,86,False
2012-12-02,58,False
2012-12-09,78,False
2012-12-16,40,False
2012-12-23,23,False
2012-12-30,41,False
