date,demoralized,isPartial
2014-01-05,74,False
2014-01-12,74,False
2014-01-19,29,False
2014-01-26,44,False
2014-02-02,46,False
2014-02-09,43,False
2014-02-16,36,False
2014-02-23,100,False
2014-03-02,36,False
2014-03-09,59,False
2014-03-16,65,False
2014-03-23,51,False
2014-03-30,37,False
2014-04-06,44,False
2014-04-13,67,False
2014-04-20,82,False
2014-04-27,74,False
2014-05-04,53,False
2014-05-11,38,False
2014-05-18,100,False
2014-05-25,63,False
2014-06-01,52,False
2014-06-08,53,False
2014-06-15,36,False
2014-06-22,44,False
2014-06-29,47,False
2014-07-06,53,False
2014-07-13,18,False
2014-07-20,35,False
2014-07-27,26,False
2014-08-03,37,False
2014-08-10,43,False
2014-08-17,34,False
2014-08-24,51,False
2014-08-31,42,False
2014-09-07,56,False
2014-09-14,73,False
2014-09-21,16,False
2014-09-28,57,False
2014-10-05,49,False
2014-10-12,65,False
2014-10-19,65,False
2014-10-26,65,False
2014-11-02,88,False
2014-11-09,80,False
2014-11-16,48,False
2014-11-23,51,False
2014-11-30,46,False
2014-12-07,48,False
2014-12-14,42,False
2014-12-21,10,False
2014-12-28,0,False
