date,demoralized,isPartial
2013-01-06,48,False
2013-01-13,56,False
2013-01-20,40,False
2013-01-27,47,False
2013-02-03,55,False
2013-02-10,63,False
2013-02-17,87,False
2013-02-24,46,False
2013-03-03,39,False
2013-03-10,55,False
2013-03-17,24,False
2013-03-24,16,False
2013-03-31,32,False
2013-04-07,24,False
2013-04-14,31,False
2013-04-21,40,False
2013-04-28,32,False
2013-05-05,48,False
2013-05-12,16,False
2013-05-19,57,False
2013-05-26,42,False
2013-06-02,49,False
2013-06-09,8,False
2013-06-16,41,False
2013-06-23,33,False
2013-06-30,9,False
2013-07-07,41,False
2013-07-14,16,False
2013-07-21,65,False
2013-07-28,32,False
2013-08-04,8,False
2013-08-11,48,False
2013-08-18,32,False
2013-08-25,47,False
2013-09-01,48,False
2013-09-08,100,False
2013-09-15,62,False
2013-09-22,39,False
2013-09-29,54,False
2013-10-06,71,False
2013-10-13,55,False
2013-10-20,62,False
2013-10-27,54,False
2013-11-03,46,False
2013-11-10,31,False
2013-11-17,45,False
2013-11-24,8,False
2013-12-01,43,False
2013-12-08,91,False
2013-12-15,39,False
2013-12-22,9,False
2013-12-29,24,False
