date,demoralized,isPartial
2015-01-04,36,False
2015-01-11,63,False
2015-01-18,58,False
2015-01-25,42,False
2015-02-01,48,False
2015-02-08,48,False
2015-02-15,63,False
2015-02-22,55,False
2015-03-01,62,False
2015-03-08,50,False
2015-03-15,85,False
2015-03-22,24,False
2015-03-29,51,False
2015-04-05,29,False
2015-04-12,42,False
2015-04-19,43,False
2015-04-26,87,False
2015-05-03,52,False
2015-05-10,37,False
2015-05-17,46,False
2015-05-24,95,False
2015-05-31,15,False
2015-06-07,16,False
2015-06-14,39,False
2015-06-21,47,False
2015-06-28,72,False
2015-07-05,55,False
2015-07-12,62,False
2015-07-19,0,False
2015-07-26,46,False
2015-08-02,31,False
2015-08-09,23,False
2015-08-16,99,False
2015-08-23,30,False
2015-08-30,51,False
2015-09-06,59,False
2015-09-13,57,False
2015-09-20,63,False
2015-09-27,85,False
2015-10-04,93,False
2015-10-11,28,False
2015-10-18,83,False
2015-10-25,56,False
2015-11-01,75,False
2015-11-08,48,False
2015-11-15,34,False
2015-11-22,30,False
2015-11-29,100,False
2015-12-06,54,False
2015-12-13,28,False
2015-12-20,40,False
2015-12-27,37,False
