date,demoralized,isPartial
2011-01-02,28,False
2011-01-09,14,False
2011-01-16,27,False
2011-01-23,27,False
2011-01-30,51,False
2011-02-06,52,False
2011-02-13,27,False
2011-02-20,13,False
2011-02-27,13,False
2011-03-06,39,False
2011-03-13,14,False
2011-03-20,26,False
2011-03-27,52,False
2011-04-03,39,False
2011-04-10,39,False
2011-04-17,27,False
2011-04-24,66,False
2011-05-01,26,False
2011-05-08,53,False
2011-05-15,26,False
2011-05-22,67,False
2011-05-29,42,False
2011-06-05,40,False
2011-06-12,68,False
2011-06-19,13,False
2011-06-26,27,False
2011-07-03,56,False
2011-07-10,13,False
2011-07-17,0,False
2011-07-24,51,False
2011-07-31,26,False
2011-08-07,38,False
2011-08-14,64,False
2011-08-21,13,False
2011-08-28,50,False
2011-09-04,100,False
2011-09-11,36,False
2011-09-18,24,False
2011-09-25,36,False
2011-10-02,24,False
2011-10-09,47,False
2011-10-16,59,False
2011-10-23,35,False
2011-10-30,24,False
2011-11-06,69,False
2011-11-13,68,False
2011-11-20,24,False
2011-11-27,66,False
2011-12-04,22,False
2011-12-11,44,False
2011-12-18,12,False
2011-12-25,12,False
