geoName,agitated
Alabama,60
Alaska,93
Arizona,55
Arkansas,46
California,71
Colorado,58
Connecticut,63
Delaware,67
District of Columbia,67
Florida,61
Georgia,71
Hawaii,100
Idaho,34
Illinois,54
Indiana,61
Iowa,46
Kansas,45
Kentucky,94
Louisiana,60
Maine,22
Maryland,62
Massachusetts,58
Michigan,67
Minnesota,84
Mississippi,87
Missouri,48
Montana,56
Nebraska,58
Nevada,57
New Hampshire,46
New Jersey,64
New Mexico,40
New York,58
North Carolina,57
North Dakota,14
Ohio,66
Oklahoma,61
Oregon,57
Pennsylvania,55
Rhode Island,87
South Carolina,66
South Dakota,29
Tennessee,48
Texas,59
Utah,56
Vermont,56
Virginia,41
Washington,58
West Virginia,32
Wisconsin,56
Wyoming,21
