geoName,agitated
Alabama,53
Alaska,40
Arizona,62
Arkansas,32
California,56
Colorado,46
Connecticut,59
Delaware,94
District of Columbia,49
Florida,56
Georgia,58
Hawaii,83
Idaho,58
Illinois,53
Indiana,48
Iowa,40
Kansas,47
Kentucky,47
Louisiana,43
Maine,71
Maryland,62
Massachusetts,48
Michigan,56
Minnesota,77
Mississippi,54
Missouri,60
Montana,39
Nebraska,54
Nevada,51
New Hampshire,28
New Jersey,56
New Mexico,35
New York,54
North Carolina,57
North Dakota,57
Ohio,40
Oklahoma,47
Oregon,40
Pennsylvania,52
Rhode Island,22
South Carolina,56
South Dakota,47
Tennessee,36
Texas,51
Utah,29
Vermont,21
Virginia,49
Washington,62
West Virginia,26
Wisconsin,64
Wyoming,100
