geoName,agitated
Alabama,24
Alaska,48
Arizona,23
Arkansas,44
California,35
Colorado,40
Connecticut,24
Delaware,16
District of Columbia,28
Florida,40
Georgia,29
Hawaii,57
Idaho,60
Illinois,29
Indiana,35
Iowa,45
Kansas,0
Kentucky,15
Louisiana,35
Maine,66
Maryland,35
Massachusetts,32
Michigan,36
Minnesota,31
Mississippi,54
Missouri,29
Montana,32
Nebraska,71
Nevada,15
New Hampshire,24
New Jersey,42
New Mexico,17
New York,36
North Carolina,25
North Dakota,40
Ohio,29
Oklahoma,54
Oregon,20
Pennsylvania,42
Rhode Island,31
South Carolina,28
South Dakota,100
Tennessee,36
Texas,33
Utah,9
Vermont,53
Virginia,44
Washington,32
West Virginia,22
Wisconsin,30
Wyoming,33
