date,agitated,isPartial
2014-01-05,47,False
2014-01-12,67,False
2014-01-19,60,False
2014-01-26,83,False
2014-02-02,56,False
2014-02-09,70,False
2014-02-16,60,False
2014-02-23,78,False
2014-03-02,70,False
2014-03-09,57,False
2014-03-16,73,False
2014-03-23,67,False
2014-03-30,66,False
2014-04-06,60,False
2014-04-13,66,False
2014-04-20,97,False
2014-04-27,83,False
2014-05-04,69,False
2014-05-11,61,False
2014-05-18,72,False
2014-05-25,59,False
2014-06-01,60,False
2014-06-08,68,False
2014-06-15,65,False
2014-06-22,63,False
2014-06-29,77,False
2014-07-06,86,False
2014-07-13,56,False
2014-07-20,69,False
2014-07-27,54,False
2014-08-03,51,False
2014-08-10,58,False
2014-08-17,58,False
2014-08-24,65,False
2014-08-31,70,False
2014-09-07,53,False
2014-09-14,64,False
2014-09-21,51,False
2014-09-28,73,False
2014-10-05,94,False
2014-10-12,69,False
2014-10-19,74,False
2014-10-26,60,False
2014-11-02,100,False
2014-11-09,47,False
2014-11-16,67,False
2014-11-23,55,False
2014-11-30,97,False
2014-12-07,51,False
2014-12-14,56,False
2014-12-21,40,False
2014-12-28,73,False
