date,agitated,isPartial
2013-01-06,67,False
2013-01-13,70,False
2013-01-20,81,False
2013-01-27,63,False
2013-02-03,79,False
2013-02-10,74,False
2013-02-17,66,False
2013-02-24,59,False
2013-03-03,74,False
2013-03-10,74,False
2013-03-17,66,False
2013-03-24,64,False
2013-03-31,56,False
2013-04-07,69,False
2013-04-14,74,False
2013-04-21,100,False
2013-04-28,55,False
2013-05-05,89,False
2013-05-12,83,False
2013-05-19,82,False
2013-05-26,63,False
2013-06-02,59,False
2013-06-09,77,False
2013-06-16,65,False
2013-06-23,58,False
2013-06-30,78,False
2013-07-07,80,False
2013-07-14,76,False
2013-07-21,64,False
2013-07-28,56,False
2013-08-04,55,False
2013-08-11,48,False
2013-08-18,72,False
2013-08-25,58,False
2013-09-01,74,False
2013-09-08,93,False
2013-09-15,74,False
2013-09-22,79,False
2013-09-29,78,False
2013-10-06,86,False
2013-10-13,79,False
2013-10-20,66,False
2013-10-27,72,False
2013-11-03,74,False
2013-11-10,60,False
2013-11-17,89,False
2013-11-24,45,False
2013-12-01,87,False
2013-12-08,88,False
2013-12-15,75,False
2013-12-22,53,False
2013-12-29,34,False
