date,agitated,isPartial
2012-01-01,61,False
2012-01-08,70,False
2012-01-15,60,False
2012-01-22,68,False
2012-01-29,74,False
2012-02-05,59,False
2012-02-12,74,False
2012-02-19,57,False
2012-02-26,68,False
2012-03-04,64,False
2012-03-11,55,False
2012-03-18,59,False
2012-03-25,69,False
2012-04-01,67,False
2012-04-08,69,False
2012-04-15,82,False
2012-04-22,62,False
2012-04-29,66,False
2012-05-06,45,False
2012-05-13,45,False
2012-05-20,58,False
2012-05-27,57,False
2012-06-03,64,False
2012-06-10,54,False
2012-06-17,61,False
2012-06-24,53,False
2012-07-01,33,False
2012-07-08,49,False
2012-07-15,66,False
2012-07-22,55,False
2012-07-29,73,False
2012-08-05,73,False
2012-08-12,58,False
2012-08-19,37,False
2012-08-26,67,False
2012-09-02,100,False
2012-09-09,65,False
2012-09-16,74,False
2012-09-23,71,False
2012-09-30,56,False
2012-10-07,82,False
2012-10-14,65,False
2012-10-21,56,False
2012-10-28,66,False
2012-11-04,66,False
2012-11-11,65,False
2012-11-18,65,False
2012-11-25,48,False
2012-12-02,65,False
2012-12-09,66,False
2012-12-16,58,False
2012-12-23,46,False
2012-12-30,43,False
