date,agitated,isPartial
2015-01-04,58,False
2015-01-11,55,False
2015-01-18,66,False
2015-01-25,64,False
2015-02-01,51,False
2015-02-08,46,False
2015-02-15,68,False
2015-02-22,63,False
2015-03-01,75,False
2015-03-08,52,False
2015-03-15,69,False
2015-03-22,64,False
2015-03-29,73,False
2015-04-05,62,False
2015-04-12,57,False
2015-04-19,67,False
2015-04-26,82,False
2015-05-03,72,False
2015-05-10,80,False
2015-05-17,68,False
2015-05-24,58,False
2015-05-31,69,False
2015-06-07,53,False
2015-06-14,69,False
2015-06-21,52,False
2015-06-28,66,False
2015-07-05,63,False
2015-07-12,54,False
2015-07-19,63,False
2015-07-26,67,False
2015-08-02,63,False
2015-08-09,65,False
2015-08-16,67,False
2015-08-23,57,False
2015-08-30,84,False
2015-09-06,69,False
2015-09-13,87,False
2015-09-20,81,False
2015-09-27,84,False
2015-10-04,90,False
2015-10-11,67,False
2015-10-18,83,False
2015-10-25,83,False
2015-11-01,66,False
2015-11-08,75,False
2015-11-15,81,False
2015-11-22,75,False
2015-11-29,73,False
2015-12-06,100,False
2015-12-13,74,False
2015-12-20,44,False
2015-12-27,44,False
