geoName,agitated
Alabama,43
Alaska,0
Arizona,31
Arkansas,53
California,38
Colorado,41
Connecticut,37
Delaware,28
District of Columbia,60
Florida,42
Georgia,46
Hawaii,70
Idaho,0
Illinois,35
Indiana,36
Iowa,48
Kansas,25
Kentucky,28
Louisiana,50
Maine,50
Maryland,38
Massachusetts,47
Michigan,40
Minnesota,29
Mississippi,50
Missouri,33
Montana,100
Nebraska,34
Nevada,17
New Hampshire,15
New Jersey,54
New Mexico,38
New York,45
North Carolina,37
North Dakota,18
Ohio,36
Oklahoma,41
Oregon,42
Pennsylvania,32
Rhode Island,46
South Carolina,39
South Dakota,55
Tennessee,33
Texas,34
Utah,34
Vermont,48
Virginia,34
Washington,59
West Virginia,30
Wisconsin,46
Wyoming,57
