date,agitated,isPartial
2011-01-02,97,False
2011-01-09,47,False
2011-01-16,50,False
2011-01-23,41,False
2011-01-30,100,False
2011-02-06,67,False
2011-02-13,64,False
2011-02-20,64,False
2011-02-27,48,False
2011-03-06,69,False
2011-03-13,40,False
2011-03-20,75,False
2011-03-27,67,False
2011-04-03,73,False
2011-04-10,54,False
2011-04-17,66,False
2011-04-24,60,False
2011-05-01,32,False
2011-05-08,52,False
2011-05-15,57,False
2011-05-22,55,False
2011-05-29,54,False
2011-06-05,38,False
2011-06-12,47,False
2011-06-19,52,False
2011-06-26,58,False
2011-07-03,54,False
2011-07-10,62,False
2011-07-17,56,False
2011-07-24,52,False
2011-07-31,47,False
2011-08-07,57,False
2011-08-14,77,False
2011-08-21,70,False
2011-08-28,69,False
2011-09-04,85,False
2011-09-11,92,False
2011-09-18,66,False
2011-09-25,68,False
2011-10-02,83,False
2011-10-09,82,False
2011-10-16,65,False
2011-10-23,59,False
2011-10-30,71,False
2011-11-06,71,False
2011-11-13,65,False
2011-11-20,50,False
2011-11-27,81,False
2011-12-04,74,False
2011-12-11,80,False
2011-12-18,68,False
2011-12-25,52,False
