date,despair,isPartial
2016-01-03,52,False
2016-01-10,59,False
2016-01-17,65,False
2016-01-24,63,False
2016-01-31,55,False
2016-02-07,56,False
2016-02-14,56,False
2016-02-21,54,False
2016-02-28,53,False
2016-03-06,50,False
2016-03-13,45,False
2016-03-20,54,False
2016-03-27,50,False
2016-04-03,75,False
2016-04-10,64,False
2016-04-17,53,False
2016-04-24,56,False
2016-05-01,59,False
2016-05-08,58,False
2016-05-15,52,False
2016-05-22,49,False
2016-05-29,47,False
2016-06-05,45,False
2016-06-12,40,False
2016-06-19,44,False
2016-06-26,47,False
2016-07-03,45,False
2016-07-10,56,False
2016-07-17,55,False
2016-07-24,47,False
2016-07-31,42,False
2016-08-07,43,False
2016-08-14,54,False
2016-08-21,58,False
2016-08-28,52,False
2016-09-04,61,False
2016-09-11,75,False
2016-09-18,74,False
2016-09-25,55,False
2016-10-02,61,False
2016-10-09,58,False
2016-10-16,48,False
2016-10-23,46,False
2016-10-30,88,False
2016-11-06,100,False
2016-11-13,76,False
2016-11-20,46,False
2016-11-27,67,False
2016-12-04,66,False
2016-12-11,52,False
2016-12-18,97,False
2016-12-25,37,False
