geoName,despair
Alabama,67
Alaska,48
Arizona,53
Arkansas,73
California,64
Colorado,57
Connecticut,64
Delaware,53
District of Columbia,49
Florida,56
Georgia,60
Hawaii,49
Idaho,69
Illinois,68
Indiana,69
Iowa,52
Kansas,55
Kentucky,58
Louisiana,55
Maine,37
Maryland,74
Massachusetts,69
Michigan,55
Minnesota,67
Mississippi,52
Missouri,53
Montana,60
Nebraska,44
Nevada,61
New Hampshire,55
New Jersey,66
New Mexico,78
New York,61
North Carolina,64
North Dakota,57
Ohio,60
Oklahoma,48
Oregon,46
Pennsylvania,67
Rhode Island,54
South Carolina,58
South Dakota,100
Tennessee,62
Texas,66
Utah,69
Vermont,56
Virginia,50
Washington,66
West Virginia,58
Wisconsin,69
Wyoming,60
