geoName,despair
Alabama,71
Alaska,77
Arizona,73
Arkansas,76
California,72
Colorado,62
Connecticut,80
Delaware,43
District of Columbia,71
Florida,68
Georgia,68
Hawaii,46
Idaho,52
Illinois,60
Indiana,80
Iowa,64
Kansas,56
Kentucky,56
Louisiana,79
Maine,73
Maryland,67
Massachusetts,63
Michigan,61
Minnesota,75
Mississippi,53
Missouri,58
Montana,75
Nebraska,55
Nevada,63
New Hampshire,69
New Jersey,59
New Mexico,68
New York,70
North Carolina,67
North Dakota,58
Ohio,68
Oklahoma,68
Oregon,43
Pennsylvania,70
Rhode Island,54
South Carolina,62
South Dakota,52
Tennessee,78
Texas,63
Utah,74
Vermont,100
Virginia,56
Washington,72
West Virginia,84
Wisconsin,61
Wyoming,71
