date,despair,isPartial
2014-01-05,72,False
2014-01-12,80,False
2014-01-19,83,False
2014-01-26,99,False
2014-02-02,86,False
2014-02-09,74,False
2014-02-16,73,False
2014-02-23,95,False
2014-03-02,96,False
2014-03-09,74,False
2014-03-16,84,False
2014-03-23,87,False
2014-03-30,97,False
2014-04-06,95,False
2014-04-13,90,False
2014-04-20,77,False
2014-04-27,86,False
2014-05-04,92,False
2014-05-11,78,False
2014-05-18,83,False
2014-05-25,77,False
2014-06-01,84,False
2014-06-08,63,False
2014-06-15,60,False
2014-06-22,56,False
2014-06-29,50,False
2014-07-06,76,False
2014-07-13,65,False
2014-07-20,68,False
2014-07-27,62,False
2014-08-03,62,False
2014-08-10,75,False
2014-08-17,74,False
2014-08-24,69,False
2014-08-31,76,False
2014-09-07,89,False
2014-09-14,82,False
2014-09-21,82,False
2014-09-28,90,False
2014-10-05,99,False
2014-10-12,78,False
2014-10-19,100,False
2014-10-26,86,False
2014-11-02,82,False
2014-11-09,80,False
2014-11-16,87,False
2014-11-23,78,False
2014-11-30,78,False
2014-12-07,92,False
2014-12-14,91,False
2014-12-21,64,False
2014-12-28,64,False
