date,despair,isPartial
2013-01-06,77,False
2013-01-13,69,False
2013-01-20,84,False
2013-01-27,77,False
2013-02-03,85,False
2013-02-10,84,False
2013-02-17,67,False
2013-02-24,78,False
2013-03-03,71,False
2013-03-10,79,False
2013-03-17,79,False
2013-03-24,76,False
2013-03-31,85,False
2013-04-07,74,False
2013-04-14,81,False
2013-04-21,82,False
2013-04-28,79,False
2013-05-05,70,False
2013-05-12,68,False
2013-05-19,68,False
2013-05-26,67,False
2013-06-02,77,False
2013-06-09,71,False
2013-06-16,68,False
2013-06-23,73,False
2013-06-30,62,False
2013-07-07,69,False
2013-07-14,74,False
2013-07-21,69,False
2013-07-28,66,False
2013-08-04,77,False
2013-08-11,63,False
2013-08-18,63,False
2013-08-25,66,False
2013-09-01,85,False
2013-09-08,84,False
2013-09-15,96,False
2013-09-22,82,False
2013-09-29,69,False
2013-10-06,65,False
2013-10-13,68,False
2013-10-20,83,False
2013-10-27,91,False
2013-11-03,85,False
2013-11-10,100,False
2013-11-17,92,False
2013-11-24,75,False
2013-12-01,88,False
2013-12-08,87,False
2013-12-15,73,False
2013-12-22,55,False
2013-12-29,67,False
