geoName,despair
Alabama,70
Alaska,49
Arizona,62
Arkansas,79
California,69
Colorado,55
Connecticut,63
Delaware,70
District of Columbia,69
Florida,52
Georgia,55
Hawaii,73
Idaho,74
Illinois,59
Indiana,61
Iowa,58
Kansas,57
Kentucky,58
Louisiana,48
Maine,89
Maryland,69
Massachusetts,56
Michigan,56
Minnesota,61
Mississippi,65
Missouri,62
Montana,57
Nebraska,56
Nevada,54
New Hampshire,35
New Jersey,60
New Mexico,73
New York,66
North Carolina,65
North Dakota,29
Ohio,60
Oklahoma,52
Oregon,51
Pennsylvania,63
Rhode Island,45
South Carolina,64
South Dakota,54
Tennessee,65
Texas,60
Utah,59
Vermont,98
Virginia,65
Washington,62
West Virginia,64
Wisconsin,57
Wyoming,100
