geoName,despair
Alabama,59
Alaska,67
Arizona,71
Arkansas,58
California,59
Colorado,51
Connecticut,72
Delaware,53
District of Columbia,46
Florida,57
Georgia,54
Hawaii,58
Idaho,76
Illinois,59
Indiana,65
Iowa,85
Kansas,54
Kentucky,75
Louisiana,77
Maine,55
Maryland,67
Massachusetts,64
Michigan,71
Minnesota,55
Mississippi,65
Missouri,73
Montana,95
Nebraska,60
Nevada,69
New Hampshire,67
New Jersey,67
New Mexico,100
New York,58
North Carolina,60
North Dakota,75
Ohio,74
Oklahoma,92
Oregon,76
Pennsylvania,64
Rhode Island,70
South Carolina,55
South Dakota,84
Tennessee,57
Texas,68
Utah,62
Vermont,22
Virginia,76
Washington,76
West Virginia,95
Wisconsin,89
Wyoming,82
