geoName,despair
Alabama,61
Alaska,71
Arizona,66
Arkansas,67
California,61
Colorado,51
Connecticut,57
Delaware,54
District of Columbia,49
Florida,57
Georgia,51
Hawaii,70
Idaho,90
Illinois,50
Indiana,73
Iowa,70
Kansas,56
Kentucky,68
Louisiana,57
Maine,58
Maryland,72
Massachusetts,54
Michigan,59
Minnesota,48
Mississippi,73
Missouri,61
Montana,50
Nebraska,58
Nevada,71
New Hampshire,67
New Jersey,59
New Mexico,68
New York,56
North Carolina,52
North Dakota,68
Ohio,52
Oklahoma,82
Oregon,71
Pennsylvania,65
Rhode Island,90
South Carolina,51
South Dakota,86
Tennessee,57
Texas,57
Utah,72
Vermont,62
Virginia,56
Washington,65
West Virginia,77
Wisconsin,63
Wyoming,100
