date,despair,isPartial
2015-01-04,40,False
2015-01-11,46,False
2015-01-18,44,False
2015-01-25,52,False
2015-02-01,44,False
2015-02-08,100,False
2015-02-15,47,False
2015-02-22,43,False
2015-03-01,44,False
2015-03-08,49,False
2015-03-15,41,False
2015-03-22,48,False
2015-03-29,53,False
2015-04-05,48,False
2015-04-12,48,False
2015-04-19,52,False
2015-04-26,58,False
2015-05-03,45,False
2015-05-10,50,False
2015-05-17,47,False
2015-05-24,36,False
2015-05-31,46,False
2015-06-07,33,False
2015-06-14,40,False
2015-06-21,38,False
2015-06-28,33,False
2015-07-05,36,False
2015-07-12,33,False
2015-07-19,34,False
2015-07-26,34,False
2015-08-02,35,False
2015-08-09,41,False
2015-08-16,39,False
2015-08-23,39,False
2015-08-30,50,False
2015-09-06,48,False
2015-09-13,48,False
2015-09-20,52,False
2015-09-27,48,False
2015-10-04,53,False
2015-10-11,49,False
2015-10-18,54,False
2015-10-25,54,False
2015-11-01,43,False
2015-11-08,54,False
2015-11-15,54,False
2015-11-22,43,False
2015-11-29,59,False
2015-12-06,49,False
2015-12-13,47,False
2015-12-20,34,False
2015-12-27,39,False
