geoName,needy
Alabama,56
Alaska,84
Arizona,64
Arkansas,100
California,59
Colorado,53
Connecticut,72
Delaware,41
District of Columbia,52
Florida,84
Georgia,64
Hawaii,44
Idaho,58
Illinois,51
Indiana,56
Iowa,39
Kansas,47
Kentucky,61
Louisiana,62
Maine,60
Maryland,47
Massachusetts,55
Michigan,60
Minnesota,44
Mississippi,42
Missouri,62
Montana,41
Nebraska,43
Nevada,57
New Hampshire,54
New Jersey,56
New Mexico,45
New York,47
North Carolina,60
North Dakota,36
Ohio,50
Oklahoma,59
Oregon,35
Pennsylvania,53
Rhode Island,45
South Carolina,50
South Dakota,87
Tennessee,61
Texas,52
Utah,73
Vermont,65
Virginia,43
Washington,68
West Virginia,49
Wisconsin,53
Wyoming,29
