geoName,needy
Alabama,82
Alaska,24
Arizona,52
Arkansas,93
California,59
Colorado,59
Connecticut,64
Delaware,86
District of Columbia,61
Florida,85
Georgia,65
Hawaii,49
Idaho,43
Illinois,57
Indiana,56
Iowa,56
Kansas,40
Kentucky,79
Louisiana,68
Maine,53
Maryland,62
Massachusetts,54
Michigan,68
Minnesota,55
Mississippi,60
Missouri,63
Montana,59
Nebraska,56
Nevada,60
New Hampshire,56
New Jersey,62
New Mexico,50
New York,52
North Carolina,55
North Dakota,28
Ohio,52
Oklahoma,60
Oregon,49
Pennsylvania,58
Rhode Island,59
South Carolina,57
South Dakota,30
Tennessee,73
Texas,60
Utah,47
Vermont,20
Virginia,58
Washington,68
West Virginia,100
Wisconsin,61
Wyoming,22
