date,needy,isPartial
2012-01-01,58,False
2012-01-08,55,False
2012-01-15,52,False
2012-01-22,62,False
2012-01-29,66,False
2012-02-05,53,False
2012-02-12,53,False
2012-02-19,61,False
2012-02-26,57,False
2012-03-04,58,False
2012-03-11,50,False
2012-03-18,57,False
2012-03-25,45,False
2012-04-01,51,False
2012-04-08,58,False
2012-04-15,57,False
2012-04-22,65,False
2012-04-29,52,False
2012-05-06,45,False
2012-05-13,55,False
2012-05-20,44,False
2012-05-27,50,False
2012-06-03,55,False
2012-06-10,47,False
2012-06-17,47,False
2012-06-24,53,False
2012-07-01,52,False
2012-07-08,51,False
2012-07-15,47,False
2012-07-22,60,False
2012-07-29,60,False
2012-08-05,61,False
2012-08-12,56,False
2012-08-19,65,False
2012-08-26,53,False
2012-09-02,61,False
2012-09-09,51,False
2012-09-16,62,False
2012-09-23,53,False
2012-09-30,61,False
2012-10-07,62,False
2012-10-14,53,False
2012-10-21,77,False
2012-10-28,58,False
2012-11-04,75,False
2012-11-11,81,False
2012-11-18,90,False
2012-11-25,88,False
2012-12-02,100,False
2012-12-09,88,False
2012-12-16,78,False
2012-12-23,57,False
2012-12-30,57,False
