date,needy,isPartial
2014-01-05,72,False
2014-01-12,65,False
2014-01-19,60,False
2014-01-26,61,False
2014-02-02,66,False
2014-02-09,55,False
2014-02-16,62,False
2014-02-23,68,False
2014-03-02,60,False
2014-03-09,52,False
2014-03-16,61,False
2014-03-23,67,False
2014-03-30,62,False
2014-04-06,61,False
2014-04-13,60,False
2014-04-20,55,False
2014-04-27,66,False
2014-05-04,63,False
2014-05-11,55,False
2014-05-18,58,False
2014-05-25,68,False
2014-06-01,58,False
2014-06-08,51,False
2014-06-15,62,False
2014-06-22,60,False
2014-06-29,63,False
2014-07-06,63,False
2014-07-13,61,False
2014-07-20,77,False
2014-07-27,52,False
2014-08-03,70,False
2014-08-10,52,False
2014-08-17,72,False
2014-08-24,49,False
2014-08-31,62,False
2014-09-07,63,False
2014-09-14,64,False
2014-09-21,68,False
2014-09-28,63,False
2014-10-05,65,False
2014-10-12,60,False
2014-10-19,76,False
2014-10-26,72,False
2014-11-02,76,False
2014-11-09,89,False
2014-11-16,99,False
2014-11-23,94,False
2014-11-30,89,False
2014-12-07,100,False
2014-12-14,93,False
2014-12-21,58,False
2014-12-28,63,False
