date,needy,isPartial
2015-01-04,66,False
2015-01-11,74,False
2015-01-18,62,False
2015-01-25,76,False
2015-02-01,55,False
2015-02-08,56,False
2015-02-15,64,False
2015-02-22,61,False
2015-03-01,54,False
2015-03-08,67,False
2015-03-15,61,False
2015-03-22,65,False
2015-03-29,62,False
2015-04-05,65,False
2015-04-12,66,False
2015-04-19,72,False
2015-04-26,56,False
2015-05-03,55,False
2015-05-10,53,False
2015-05-17,52,False
2015-05-24,62,False
2015-05-31,64,False
2015-06-07,58,False
2015-06-14,62,False
2015-06-21,63,False
2015-06-28,67,False
2015-07-05,51,False
2015-07-12,67,False
2015-07-19,67,False
2015-07-26,63,False
2015-08-02,64,False
2015-08-09,63,False
2015-08-16,67,False
2015-08-23,70,False
2015-08-30,66,False
2015-09-06,59,False
2015-09-13,70,False
2015-09-20,64,False
2015-09-27,66,False
2015-10-04,61,False
2015-10-11,60,False
2015-10-18,57,False
2015-10-25,76,False
2015-11-01,85,False
2015-11-08,100,False
2015-11-15,98,False
2015-11-22,94,False
2015-11-29,93,False
2015-12-06,96,False
2015-12-13,96,False
2015-12-20,85,False
2015-12-27,73,False
