geoName,needy
Alabama,69
Alaska,60
Arizona,38
Arkansas,100
California,58
Colorado,49
Connecticut,51
Delaware,49
District of Columbia,43
Florida,92
Georgia,59
Hawaii,31
Idaho,65
Illinois,58
Indiana,63
Iowa,67
Kansas,67
Kentucky,73
Louisiana,55
Maine,80
Maryland,55
Massachusetts,53
Michigan,68
Minnesota,41
Mississippi,48
Missouri,76
Montana,43
Nebraska,32
Nevada,48
New Hampshire,45
New Jersey,66
New Mexico,30
New York,51
North Carolina,56
North Dakota,53
Ohio,66
Oklahoma,84
Oregon,86
Pennsylvania,64
Rhode Island,61
South Carolina,65
South Dakota,37
Tennessee,65
Texas,58
Utah,51
Vermont,8
Virginia,54
Washington,72
West Virginia,60
Wisconsin,65
Wyoming,14
