date,needy,isPartial
2016-01-03,65,False
2016-01-10,58,False
2016-01-17,64,False
2016-01-24,59,False
2016-01-31,71,False
2016-02-07,66,False
2016-02-14,55,False
2016-02-21,65,False
2016-02-28,78,False
2016-03-06,57,False
2016-03-13,52,False
2016-03-20,60,False
2016-03-27,61,False
2016-04-03,66,False
2016-04-10,67,False
2016-04-17,62,False
2016-04-24,65,False
2016-05-01,63,False
2016-05-08,73,False
2016-05-15,57,False
2016-05-22,62,False
2016-05-29,56,False
2016-06-05,55,False
2016-06-12,57,False
2016-06-19,60,False
2016-06-26,60,False
2016-07-03,51,False
2016-07-10,66,False
2016-07-17,62,False
2016-07-24,63,False
2016-07-31,58,False
2016-08-07,52,False
2016-08-14,53,False
2016-08-21,67,False
2016-08-28,59,False
2016-09-04,65,False
2016-09-11,70,False
2016-09-18,55,False
2016-09-25,72,False
2016-10-02,73,False
2016-10-09,100,False
2016-10-16,93,False
2016-10-23,80,False
2016-10-30,80,False
2016-11-06,67,False
2016-11-13,94,False
2016-11-20,81,False
2016-11-27,92,False
2016-12-04,90,False
2016-12-11,92,False
2016-12-18,87,False
2016-12-25,59,False
