geoName,dreadful
Alabama,83
Alaska,66
Arizona,73
Arkansas,64
California,83
Colorado,72
Connecticut,82
Delaware,87
District of Columbia,61
Florida,75
Georgia,55
Hawaii,60
Idaho,67
Illinois,69
Indiana,67
Iowa,61
Kansas,47
Kentucky,58
Louisiana,77
Maine,66
Maryland,79
Massachusetts,74
Michigan,71
Minnesota,52
Mississippi,69
Missouri,67
Montana,78
Nebraska,57
Nevada,69
New Hampshire,66
New Jersey,95
New Mexico,56
New York,100
North Carolina,60
North Dakota,49
Ohio,64
Oklahoma,62
Oregon,48
Pennsylvania,78
Rhode Island,73
South Carolina,68
South Dakota,32
Tennessee,74
Texas,69
Utah,57
Vermont,59
Virginia,59
Washington,72
West Virginia,64
Wisconsin,58
Wyoming,87
