date,dreadful,isPartial
2014-01-05,3,False
2014-01-12,9,False
2014-01-19,4,False
2014-01-26,3,False
2014-02-02,4,False
2014-02-09,4,False
2014-02-16,8,False
2014-02-23,6,False
2014-03-02,5,False
2014-03-09,8,False
2014-03-16,6,False
2014-03-23,8,False
2014-03-30,7,False
2014-04-06,7,False
2014-04-13,8,False
2014-04-20,11,False
2014-04-27,36,False
2014-05-04,56,False
2014-05-11,100,False
2014-05-18,75,False
2014-05-25,62,False
2014-06-01,61,False
2014-06-08,51,False
2014-06-15,46,False
2014-06-22,46,False
2014-06-29,57,False
2014-07-06,26,False
2014-07-13,19,False
2014-07-20,15,False
2014-07-27,13,False
2014-08-03,12,False
2014-08-10,13,False
2014-08-17,10,False
2014-08-24,10,False
2014-08-31,9,False
2014-09-07,9,False
2014-09-14,9,False
2014-09-21,8,False
2014-09-28,8,False
2014-10-05,11,False
2014-10-12,13,False
2014-10-19,12,False
2014-10-26,11,False
2014-11-02,7,False
2014-11-09,8,False
2014-11-16,7,False
2014-11-23,8,False
2014-11-30,8,False
2014-12-07,8,False
2014-12-14,7,False
2014-12-21,10,False
2014-12-28,22,False
