date,dreadful,isPartial
2013-01-06,25,False
2013-01-13,23,False
2013-01-20,19,False
2013-01-27,14,False
2013-02-03,28,False
2013-02-10,21,False
2013-02-17,19,False
2013-02-24,24,False
2013-03-03,49,False
2013-03-10,32,False
2013-03-17,22,False
2013-03-24,35,False
2013-03-31,21,False
2013-04-07,25,False
2013-04-14,30,False
2013-04-21,23,False
2013-04-28,20,False
2013-05-05,21,False
2013-05-12,21,False
2013-05-19,23,False
2013-05-26,16,False
2013-06-02,21,False
2013-06-09,18,False
2013-06-16,14,False
2013-06-23,15,False
2013-06-30,20,False
2013-07-07,15,False
2013-07-14,24,False
2013-07-21,17,False
2013-07-28,22,False
2013-08-04,15,False
2013-08-11,18,False
2013-08-18,27,False
2013-08-25,19,False
2013-09-01,21,False
2013-09-08,25,False
2013-09-15,29,False
2013-09-22,100,False
2013-09-29,23,False
2013-10-06,32,False
2013-10-13,16,False
2013-10-20,26,False
2013-10-27,28,False
2013-11-03,31,False
2013-11-10,28,False
2013-11-17,21,False
2013-11-24,20,False
2013-12-01,26,False
2013-12-08,33,False
2013-12-15,63,False
2013-12-22,39,False
2013-12-29,40,False
