geoName,dreadful
Alabama,34
Alaska,27
Arizona,38
Arkansas,27
California,39
Colorado,23
Connecticut,45
Delaware,100
District of Columbia,32
Florida,36
Georgia,31
Hawaii,42
Idaho,96
Illinois,36
Indiana,27
Iowa,45
Kansas,42
Kentucky,75
Louisiana,32
Maine,34
Maryland,43
Massachusetts,38
Michigan,37
Minnesota,16
Mississippi,45
Missouri,33
Montana,29
Nebraska,52
Nevada,44
New Hampshire,30
New Jersey,33
New Mexico,70
New York,40
North Carolina,25
North Dakota,36
Ohio,63
Oklahoma,55
Oregon,29
Pennsylvania,33
Rhode Island,66
South Carolina,47
South Dakota,56
Tennessee,48
Texas,32
Utah,31
Vermont,49
Virginia,36
Washington,38
West Virginia,71
Wisconsin,25
Wyoming,88
