date,dreadful,isPartial
2016-01-03,10,False
2016-01-10,11,False
2016-01-17,20,False
2016-01-24,11,False
2016-01-31,9,False
2016-02-07,9,False
2016-02-14,9,False
2016-02-21,9,False
2016-02-28,9,False
2016-03-06,9,False
2016-03-13,11,False
2016-03-20,9,False
2016-03-27,9,False
2016-04-03,13,False
2016-04-10,11,False
2016-04-17,12,False
2016-04-24,30,False
2016-05-01,48,False
2016-05-08,37,False
2016-05-15,32,False
2016-05-22,28,False
2016-05-29,27,False
2016-06-05,29,False
2016-06-12,31,False
2016-06-19,100,False
2016-06-26,27,False
2016-07-03,61,False
2016-07-10,69,False
2016-07-17,58,False
2016-07-24,55,False
2016-07-31,46,False
2016-08-07,35,False
2016-08-14,34,False
2016-08-21,35,False
2016-08-28,31,False
2016-09-04,31,False
2016-09-11,29,False
2016-09-18,48,False
2016-09-25,39,False
2016-10-02,29,False
2016-10-09,24,False
2016-10-16,21,False
2016-10-23,21,False
2016-10-30,20,False
2016-11-06,16,False
2016-11-13,14,False
2016-11-20,17,False
2016-11-27,16,False
2016-12-04,16,False
2016-12-11,15,False
2016-12-18,15,False
2016-12-25,17,False
