geoName,dreadful
Alabama,63
Alaska,91
Arizona,77
Arkansas,70
California,75
Colorado,82
Connecticut,63
Delaware,68
District of Columbia,56
Florida,70
Georgia,65
Hawaii,77
Idaho,79
Illinois,62
Indiana,74
Iowa,70
Kansas,74
Kentucky,81
Louisiana,74
Maine,99
Maryland,73
Massachusetts,71
Michigan,62
Minnesota,67
Mississippi,57
Missouri,66
Montana,90
Nebraska,67
Nevada,82
New Hampshire,71
New Jersey,69
New Mexico,90
New York,76
North Carolina,69
North Dakota,68
Ohio,71
Oklahoma,78
Oregon,83
Pennsylvania,68
Rhode Island,81
South Carolina,65
South Dakota,65
Tennessee,74
Texas,70
Utah,75
Vermont,92
Virginia,86
Washington,89
West Virginia,100
Wisconsin,67
Wyoming,88
