date,dreadful,isPartial
2012-01-01,44,False
2012-01-08,36,False
2012-01-15,46,False
2012-01-22,37,False
2012-01-29,42,False
2012-02-05,45,False
2012-02-12,38,False
2012-02-19,50,False
2012-02-26,27,False
2012-03-04,28,False
2012-03-11,37,False
2012-03-18,20,False
2012-03-25,27,False
2012-04-01,36,False
2012-04-08,28,False
2012-04-15,35,False
2012-04-22,37,False
2012-04-29,50,False
2012-05-06,32,False
2012-05-13,44,False
2012-05-20,49,False
2012-05-27,32,False
2012-06-03,36,False
2012-06-10,36,False
2012-06-17,38,False
2012-06-24,29,False
2012-07-01,25,False
2012-07-08,25,False
2012-07-15,32,False
2012-07-22,32,False
2012-07-29,41,False
2012-08-05,23,False
2012-08-12,33,False
2012-08-19,38,False
2012-08-26,23,False
2012-09-02,33,False
2012-09-09,46,False
2012-09-16,53,False
2012-09-23,50,False
2012-09-30,81,False
2012-10-07,66,False
2012-10-14,45,False
2012-10-21,80,False
2012-10-28,65,False
2012-11-04,66,False
2012-11-11,56,False
2012-11-18,100,False
2012-11-25,89,False
2012-12-02,100,False
2012-12-09,95,False
2012-12-16,80,False
2012-12-23,74,False
2012-12-30,47,False
