geoName,dreadful
Alabama,75
Alaska,81
Arizona,61
Arkansas,57
California,69
Colorado,55
Connecticut,52
Delaware,94
District of Columbia,61
Florida,55
Georgia,48
Hawaii,86
Idaho,86
Illinois,51
Indiana,80
Iowa,59
Kansas,65
Kentucky,43
Louisiana,42
Maine,29
Maryland,64
Massachusetts,45
Michigan,51
Minnesota,50
Mississippi,28
Missouri,51
Montana,79
Nebraska,34
Nevada,78
New Hampshire,67
New Jersey,48
New Mexico,93
New York,65
North Carolina,48
North Dakota,96
Ohio,75
Oklahoma,56
Oregon,52
Pennsylvania,67
Rhode Island,97
South Carolina,52
South Dakota,100
Tennessee,65
Texas,54
Utah,69
Vermont,72
Virginia,61
Washington,40
West Virginia,86
Wisconsin,44
Wyoming,93
