geoName,dreadful
Alabama,37
Alaska,30
Arizona,30
Arkansas,40
California,28
Colorado,32
Connecticut,36
Delaware,29
District of Columbia,19
Florida,31
Georgia,28
Hawaii,15
Idaho,28
Illinois,32
Indiana,42
Iowa,54
Kansas,40
Kentucky,48
Louisiana,22
Maine,26
Maryland,24
Massachusetts,46
Michigan,41
Minnesota,38
Mississippi,29
Missouri,27
Montana,15
Nebraska,54
Nevada,38
New Hampshire,45
New Jersey,36
New Mexico,16
New York,30
North Carolina,27
North Dakota,37
Ohio,53
Oklahoma,54
Oregon,31
Pennsylvania,49
Rhode Island,29
South Carolina,29
South Dakota,19
Tennessee,36
Texas,37
Utah,41
Vermont,0
Virginia,43
Washington,27
West Virginia,100
Wisconsin,39
Wyoming,30
