date,dreadful,isPartial
2015-01-04,21,False
2015-01-11,27,False
2015-01-18,19,False
2015-01-25,15,False
2015-02-01,15,False
2015-02-08,16,False
2015-02-15,13,False
2015-02-22,11,False
2015-03-01,14,False
2015-03-08,16,False
2015-03-15,15,False
2015-03-22,19,False
2015-03-29,23,False
2015-04-05,28,False
2015-04-12,29,False
2015-04-19,44,False
2015-04-26,54,False
2015-05-03,90,False
2015-05-10,64,False
2015-05-17,59,False
2015-05-24,63,False
2015-05-31,66,False
2015-06-07,59,False
2015-06-14,57,False
2015-06-21,59,False
2015-06-28,57,False
2015-07-05,100,False
2015-07-12,41,False
2015-07-19,28,False
2015-07-26,27,False
2015-08-02,21,False
2015-08-09,19,False
2015-08-16,22,False
2015-08-23,18,False
2015-08-30,18,False
2015-09-06,17,False
2015-09-13,15,False
2015-09-20,16,False
2015-09-27,16,False
2015-10-04,20,False
2015-10-11,16,False
2015-10-18,16,False
2015-10-25,16,False
2015-11-01,16,False
2015-11-08,17,False
2015-11-15,14,False
2015-11-22,15,False
2015-11-29,12,False
2015-12-06,17,False
2015-12-13,16,False
2015-12-20,16,False
2015-12-27,21,False
