geoName,diet
Alabama,93
Alaska,85
Arizona,84
Arkansas,93
California,72
Colorado,77
Connecticut,78
Delaware,81
District of Columbia,68
Florida,81
Georgia,78
Hawaii,77
Idaho,85
Illinois,73
Indiana,85
Iowa,83
Kansas,75
Kentucky,92
Louisiana,91
Maine,86
Maryland,76
Massachusetts,75
Michigan,77
Minnesota,75
Mississippi,98
Missouri,85
Montana,88
Nebraska,82
Nevada,77
New Hampshire,83
New Jersey,76
New Mexico,86
New York,73
North Carolina,80
North Dakota,84
Ohio,82
Oklahoma,88
Oregon,66
Pennsylvania,83
Rhode Island,80
South Carolina,82
South Dakota,89
Tennessee,90
Texas,74
Utah,80
Vermont,78
Virginia,59
Washington,78
West Virginia,100
Wisconsin,78
Wyoming,90
