date,diet,isPartial
2015-01-04,100,False
2015-01-11,83,False
2015-01-18,79,False
2015-01-25,75,False
2015-02-01,70,False
2015-02-08,68,False
2015-02-15,69,False
2015-02-22,73,False
2015-03-01,75,False
2015-03-08,74,False
2015-03-15,77,False
2015-03-22,77,False
2015-03-29,72,False
2015-04-05,76,False
2015-04-12,76,False
2015-04-19,79,False
2015-04-26,75,False
2015-05-03,73,False
2015-05-10,72,False
2015-05-17,71,False
2015-05-24,74,False
2015-05-31,75,False
2015-06-07,75,False
2015-06-14,73,False
2015-06-21,70,False
2015-06-28,68,False
2015-07-05,73,False
2015-07-12,71,False
2015-07-19,74,False
2015-07-26,72,False
2015-08-02,72,False
2015-08-09,73,False
2015-08-16,67,False
2015-08-23,63,False
2015-08-30,64,False
2015-09-06,66,False
2015-09-13,67,False
2015-09-20,63,False
2015-09-27,61,False
2015-10-04,61,False
2015-10-11,63,False
2015-10-18,62,False
2015-10-25,63,False
2015-11-01,61,False
2015-11-08,58,False
2015-11-15,56,False
2015-11-22,46,False
2015-11-29,55,False
2015-12-06,55,False
2015-12-13,50,False
2015-12-20,48,False
2015-12-27,74,False
