date,diet,isPartial
2011-01-02,100,False
2011-01-09,77,False
2011-01-16,74,False
2011-01-23,78,False
2011-01-30,68,False
2011-02-06,72,False
2011-02-13,71,False
2011-02-20,77,False
2011-02-27,74,False
2011-03-06,71,False
2011-03-13,72,False
2011-03-20,75,False
2011-03-27,75,False
2011-04-03,79,False
2011-04-10,76,False
2011-04-17,81,False
2011-04-24,77,False
2011-05-01,78,False
2011-05-08,75,False
2011-05-15,74,False
2011-05-22,72,False
2011-05-29,72,False
2011-06-05,75,False
2011-06-12,67,False
2011-06-19,67,False
2011-06-26,69,False
2011-07-03,66,False
2011-07-10,70,False
2011-07-17,67,False
2011-07-24,67,False
2011-07-31,67,False
2011-08-07,63,False
2011-08-14,66,False
2011-08-21,62,False
2011-08-28,60,False
2011-09-04,63,False
2011-09-11,61,False
2011-09-18,61,False
2011-09-25,63,False
2011-10-02,59,False
2011-10-09,63,False
2011-10-16,62,False
2011-10-23,60,False
2011-10-30,60,False
2011-11-06,60,False
2011-11-13,58,False
2011-11-20,47,False
2011-11-27,66,False
2011-12-04,56,False
2011-12-11,49,False
2011-12-18,48,False
2011-12-25,67,False
