date,diet,isPartial
2014-01-05,100,False
2014-01-12,79,False
2014-01-19,75,False
2014-01-26,73,False
2014-02-02,71,False
2014-02-09,66,False
2014-02-16,73,False
2014-02-23,72,False
2014-03-02,74,False
2014-03-09,70,False
2014-03-16,69,False
2014-03-23,72,False
2014-03-30,71,False
2014-04-06,69,False
2014-04-13,67,False
2014-04-20,69,False
2014-04-27,68,False
2014-05-04,66,False
2014-05-11,69,False
2014-05-18,67,False
2014-05-25,67,False
2014-06-01,63,False
2014-06-08,63,False
2014-06-15,65,False
2014-06-22,61,False
2014-06-29,60,False
2014-07-06,62,False
2014-07-13,59,False
2014-07-20,62,False
2014-07-27,58,False
2014-08-03,60,False
2014-08-10,58,False
2014-08-17,57,False
2014-08-24,53,False
2014-08-31,56,False
2014-09-07,54,False
2014-09-14,55,False
2014-09-21,56,False
2014-09-28,57,False
2014-10-05,54,False
2014-10-12,52,False
2014-10-19,54,False
2014-10-26,53,False
2014-11-02,51,False
2014-11-09,51,False
2014-11-16,48,False
2014-11-23,39,False
2014-11-30,52,False
2014-12-07,49,False
2014-12-14,43,False
2014-12-21,40,False
2014-12-28,67,False
