geoName,diet
Alabama,91
Alaska,89
Arizona,85
Arkansas,100
California,73
Colorado,81
Connecticut,73
Delaware,74
District of Columbia,69
Florida,81
Georgia,82
Hawaii,78
Idaho,89
Illinois,74
Indiana,84
Iowa,82
Kansas,81
Kentucky,90
Louisiana,91
Maine,84
Maryland,74
Massachusetts,72
Michigan,75
Minnesota,74
Mississippi,98
Missouri,81
Montana,92
Nebraska,85
Nevada,79
New Hampshire,86
New Jersey,78
New Mexico,80
New York,71
North Carolina,83
North Dakota,87
Ohio,77
Oklahoma,92
Oregon,85
Pennsylvania,80
Rhode Island,77
South Carolina,82
South Dakota,89
Tennessee,86
Texas,82
Utah,83
Vermont,76
Virginia,79
Washington,83
West Virginia,93
Wisconsin,72
Wyoming,91
