geoName,diet
Alabama,95
Alaska,96
Arizona,86
Arkansas,100
California,73
Colorado,77
Connecticut,83
Delaware,85
District of Columbia,67
Florida,85
Georgia,79
Hawaii,79
Idaho,97
Illinois,77
Indiana,84
Iowa,87
Kansas,78
Kentucky,89
Louisiana,96
Maine,89
Maryland,80
Massachusetts,77
Michigan,81
Minnesota,77
Mississippi,99
Missouri,87
Montana,92
Nebraska,85
Nevada,82
New Hampshire,86
New Jersey,82
New Mexico,89
New York,76
North Carolina,86
North Dakota,86
Ohio,84
Oklahoma,92
Oregon,61
Pennsylvania,82
Rhode Island,89
South Carolina,86
South Dakota,95
Tennessee,97
Texas,80
Utah,82
Vermont,86
Virginia,67
Washington,86
West Virginia,98
Wisconsin,79
Wyoming,94
