geoName,diet
Alabama,99
Alaska,93
Arizona,88
Arkansas,97
California,77
Colorado,81
Connecticut,83
Delaware,84
District of Columbia,76
Florida,84
Georgia,81
Hawaii,84
Idaho,95
Illinois,79
Indiana,84
Iowa,87
Kansas,83
Kentucky,95
Louisiana,100
Maine,90
Maryland,79
Massachusetts,78
Michigan,84
Minnesota,80
Mississippi,91
Missouri,84
Montana,97
Nebraska,86
Nevada,82
New Hampshire,92
New Jersey,81
New Mexico,91
New York,76
North Carolina,85
North Dakota,80
Ohio,87
Oklahoma,90
Oregon,58
Pennsylvania,81
Rhode Island,82
South Carolina,91
South Dakota,93
Tennessee,96
Texas,83
Utah,82
Vermont,92
Virginia,80
Washington,88
West Virginia,97
Wisconsin,82
Wyoming,96
