date,diet,isPartial
2013-01-06,100,False
2013-01-13,82,False
2013-01-20,85,False
2013-01-27,83,False
2013-02-03,81,False
2013-02-10,76,False
2013-02-17,85,False
2013-02-24,95,False
2013-03-03,88,False
2013-03-10,82,False
2013-03-17,86,False
2013-03-24,79,False
2013-03-31,81,False
2013-04-07,86,False
2013-04-14,77,False
2013-04-21,83,False
2013-04-28,81,False
2013-05-05,76,False
2013-05-12,79,False
2013-05-19,78,False
2013-05-26,77,False
2013-06-02,78,False
2013-06-09,75,False
2013-06-16,74,False
2013-06-23,75,False
2013-06-30,68,False
2013-07-07,78,False
2013-07-14,71,False
2013-07-21,73,False
2013-07-28,78,False
2013-08-04,71,False
2013-08-11,68,False
2013-08-18,68,False
2013-08-25,61,False
2013-09-01,67,False
2013-09-08,66,False
2013-09-15,63,False
2013-09-22,62,False
2013-09-29,62,False
2013-10-06,60,False
2013-10-13,64,False
2013-10-20,63,False
2013-10-27,59,False
2013-11-03,63,False
2013-11-10,65,False
2013-11-17,60,False
2013-11-24,47,False
2013-12-01,57,False
2013-12-08,54,False
2013-12-15,51,False
2013-12-22,53,False
2013-12-29,84,False
